통계년월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202101,서울특별시,용산구,신장,심한 장애,259
202101,서울특별시,용산구,심장,심한 장애,20
202101,서울특별시,용산구,지체,심한 장애,589
202101,서울특별시,용산구,호흡기,심한 장애,48
202101,서울특별시,용산구,간,심한 장애,2
202101,서울특별시,용산구,안면,심한 장애,2
202101,서울특별시,용산구,장루.요루,심한 장애,9
202101,서울특별시,용산구,뇌전증,심한 장애,7
202101,서울특별시,용산구,지체,심하지 않은 장애,2820
202101,서울특별시,용산구,시각,심하지 않은 장애,770
202101,서울특별시,용산구,시각,심한 장애,198
202101,서울특별시,용산구,청각,심하지 않은 장애,902
202101,서울특별시,용산구,언어,심하지 않은 장애,31
202101,서울특별시,용산구,뇌병변,심하지 않은 장애,341
202101,서울특별시,용산구,신장,심하지 않은 장애,93
202101,서울특별시,용산구,심장,심하지 않은 장애,4
202101,서울특별시,용산구,간,심하지 않은 장애,68
202101,서울특별시,용산구,안면,심하지 않은 장애,4
202101,서울특별시,용산구,장루.요루,심하지 않은 장애,58
202101,서울특별시,용산구,뇌전증,심하지 않은 장애,16
202101,서울특별시,용산구,청각,심한 장애,256
202101,서울특별시,용산구,언어,심한 장애,40
202101,서울특별시,성동구,지체,심한 장애,855
202101,서울특별시,성동구,지적,심한 장애,700
202101,서울특별시,성동구,뇌병변,심한 장애,668
202101,서울특별시,성동구,자폐성,심한 장애,183
202101,서울특별시,성동구,정신,심한 장애,419
202101,서울특별시,성동구,신장,심한 장애,365
202101,서울특별시,성동구,심장,심한 장애,29
202101,서울특별시,성동구,호흡기,심한 장애,85
202101,서울특별시,성동구,간,심한 장애,4
202101,서울특별시,성동구,안면,심한 장애,5
202101,서울특별시,성동구,장루.요루,심한 장애,7
202101,서울특별시,성동구,시각,심한 장애,206
202101,서울특별시,성동구,뇌전증,심한 장애,11
202101,서울특별시,성동구,지체,심하지 않은 장애,4354
202101,서울특별시,성동구,시각,심하지 않은 장애,957
202101,서울특별시,성동구,청각,심하지 않은 장애,1259
202101,서울특별시,성동구,언어,심하지 않은 장애,57
202101,서울특별시,성동구,뇌병변,심하지 않은 장애,512
202101,서울특별시,성동구,신장,심하지 않은 장애,112
202101,서울특별시,성동구,심장,심하지 않은 장애,6
202101,서울특별시,성동구,청각,심한 장애,369
202101,서울특별시,성동구,호흡기,심하지 않은 장애,2
202101,서울특별시,성동구,간,심하지 않은 장애,76
202101,서울특별시,성동구,안면,심하지 않은 장애,7
202101,서울특별시,성동구,장루.요루,심하지 않은 장애,81
202101,서울특별시,성동구,뇌전증,심하지 않은 장애,31
202101,서울특별시,성동구,언어,심한 장애,52
202101,서울특별시,광진구,지적,심한 장애,813
202101,서울특별시,광진구,뇌병변,심한 장애,710
202101,서울특별시,광진구,자폐성,심한 장애,173
202101,서울특별시,광진구,정신,심한 장애,518
202101,서울특별시,광진구,신장,심한 장애,444
202101,서울특별시,광진구,심장,심한 장애,30
202101,서울특별시,광진구,호흡기,심한 장애,63
202101,서울특별시,광진구,간,심한 장애,8
202101,서울특별시,광진구,안면,심한 장애,6
202101,서울특별시,광진구,장루.요루,심한 장애,13
202101,서울특별시,광진구,시각,심한 장애,230
202101,서울특별시,광진구,뇌전증,심한 장애,9
202101,서울특별시,광진구,지체,심하지 않은 장애,4623
202101,서울특별시,광진구,시각,심하지 않은 장애,1090
202101,서울특별시,광진구,청각,심하지 않은 장애,1339
202101,서울특별시,광진구,언어,심하지 않은 장애,43
202101,서울특별시,광진구,뇌병변,심하지 않은 장애,503
202101,서울특별시,광진구,신장,심하지 않은 장애,151
202101,서울특별시,광진구,심장,심하지 않은 장애,7
202101,서울특별시,광진구,호흡기,심하지 않은 장애,1
202101,서울특별시,광진구,간,심하지 않은 장애,60
202101,서울특별시,광진구,청각,심한 장애,360
202101,서울특별시,광진구,안면,심하지 않은 장애,2
202101,서울특별시,광진구,장루.요루,심하지 않은 장애,95
202101,서울특별시,광진구,뇌전증,심하지 않은 장애,34
202101,서울특별시,광진구,지체,심한 장애,947
202101,서울특별시,광진구,언어,심한 장애,47
202101,서울특별시,동대문구,지적,심한 장애,892
202101,서울특별시,동대문구,뇌병변,심한 장애,954
202101,서울특별시,동대문구,자폐성,심한 장애,160
202101,서울특별시,동대문구,정신,심한 장애,636
202101,서울특별시,동대문구,신장,심한 장애,493
202101,서울특별시,동대문구,심장,심한 장애,33
202101,서울특별시,동대문구,호흡기,심한 장애,79
202101,서울특별시,동대문구,시각,심한 장애,277
202101,서울특별시,동대문구,간,심한 장애,10
202101,서울특별시,동대문구,안면,심한 장애,6
202101,서울특별시,동대문구,장루.요루,심한 장애,7
202101,서울특별시,동대문구,뇌전증,심한 장애,12
202101,서울특별시,동대문구,지체,심하지 않은 장애,5980
202101,서울특별시,동대문구,시각,심하지 않은 장애,1262
202101,서울특별시,동대문구,청각,심하지 않은 장애,1873
202101,서울특별시,동대문구,언어,심하지 않은 장애,64
202101,서울특별시,동대문구,뇌병변,심하지 않은 장애,670
202101,서울특별시,동대문구,신장,심하지 않은 장애,168
202101,서울특별시,동대문구,심장,심하지 않은 장애,3
202101,서울특별시,동대문구,청각,심한 장애,489
202101,서울특별시,동대문구,호흡기,심하지 않은 장애,1
202101,서울특별시,동대문구,간,심하지 않은 장애,90
202101,서울특별시,동대문구,안면,심하지 않은 장애,13
202101,서울특별시,동대문구,장루.요루,심하지 않은 장애,102
202101,서울특별시,동대문구,뇌전증,심하지 않은 장애,32
202101,서울특별시,동대문구,지체,심한 장애,1264
202101,서울특별시,동대문구,언어,심한 장애,77
202101,서울특별시,중랑구,지적,심한 장애,1310
202101,서울특별시,중랑구,뇌병변,심한 장애,1282
202101,서울특별시,중랑구,자폐성,심한 장애,242
202101,서울특별시,중랑구,정신,심한 장애,860
202101,서울특별시,중랑구,신장,심한 장애,716
202101,서울특별시,중랑구,심장,심한 장애,43
202101,서울특별시,중랑구,호흡기,심한 장애,132
202101,서울특별시,중랑구,간,심한 장애,8
202101,서울특별시,중랑구,안면,심한 장애,6
202101,서울특별시,중랑구,시각,심한 장애,394
202101,서울특별시,중랑구,장루.요루,심한 장애,15
202101,서울특별시,중랑구,뇌전증,심한 장애,15
202101,서울특별시,중랑구,지체,심하지 않은 장애,7831
202101,서울특별시,중랑구,시각,심하지 않은 장애,1675
202101,서울특별시,중랑구,청각,심하지 않은 장애,1937
202101,서울특별시,중랑구,언어,심하지 않은 장애,82
202101,서울특별시,중랑구,뇌병변,심하지 않은 장애,839
202101,서울특별시,중랑구,신장,심하지 않은 장애,208
202101,서울특별시,중랑구,심장,심하지 않은 장애,8
202101,서울특별시,중랑구,간,심하지 않은 장애,93
202101,서울특별시,중랑구,안면,심하지 않은 장애,10
202101,서울특별시,중랑구,청각,심한 장애,607
202101,서울특별시,중랑구,장루.요루,심하지 않은 장애,148
202101,서울특별시,중랑구,뇌전증,심하지 않은 장애,59
202101,서울특별시,중랑구,지체,심한 장애,1808
202101,서울특별시,중랑구,언어,심한 장애,92
202101,서울특별시,성북구,지적,심한 장애,1091
202101,서울특별시,성북구,뇌병변,심한 장애,1008
202101,서울특별시,성북구,지체,심한 장애,1338
202101,서울특별시,성북구,자폐성,심한 장애,224
202101,서울특별시,성북구,정신,심한 장애,648
202101,서울특별시,성북구,신장,심한 장애,564
202101,서울특별시,성북구,심장,심한 장애,27
202101,서울특별시,성북구,호흡기,심한 장애,83
202101,서울특별시,성북구,간,심한 장애,5
202101,서울특별시,성북구,안면,심한 장애,7
202101,서울특별시,성북구,시각,심한 장애,387
202101,서울특별시,성북구,장루.요루,심한 장애,12
202101,서울특별시,성북구,뇌전증,심한 장애,12
202101,서울특별시,성북구,지체,심하지 않은 장애,6489
202101,서울특별시,성북구,시각,심하지 않은 장애,1544
202101,서울특별시,성북구,청각,심하지 않은 장애,2069
202101,서울특별시,성북구,언어,심하지 않은 장애,80
202101,서울특별시,성북구,뇌병변,심하지 않은 장애,768
202101,서울특별시,성북구,신장,심하지 않은 장애,217
202101,서울특별시,성북구,심장,심하지 않은 장애,9
202101,서울특별시,성북구,호흡기,심하지 않은 장애,9
202101,서울특별시,성북구,청각,심한 장애,485
202101,서울특별시,성북구,간,심하지 않은 장애,136
202101,서울특별시,성북구,안면,심하지 않은 장애,11
202101,서울특별시,성북구,장루.요루,심하지 않은 장애,110
202101,서울특별시,성북구,뇌전증,심하지 않은 장애,40
202101,서울특별시,성북구,언어,심한 장애,79
202101,서울특별시,강북구,지적,심한 장애,1218
202101,서울특별시,강북구,뇌병변,심한 장애,1043
202101,서울특별시,강북구,자폐성,심한 장애,163
202101,서울특별시,강북구,정신,심한 장애,739
202101,서울특별시,강북구,신장,심한 장애,586
202101,서울특별시,강북구,심장,심한 장애,25
202101,서울특별시,강북구,호흡기,심한 장애,97
202101,서울특별시,강북구,간,심한 장애,5
202101,서울특별시,강북구,안면,심한 장애,2
202101,서울특별시,강북구,지체,심한 장애,1460
202101,서울특별시,강북구,장루.요루,심한 장애,12
202101,서울특별시,강북구,뇌전증,심한 장애,11
202101,서울특별시,강북구,시각,심한 장애,479
202101,서울특별시,강북구,지체,심하지 않은 장애,6221
202101,서울특별시,강북구,시각,심하지 않은 장애,1461
202101,서울특별시,강북구,청각,심하지 않은 장애,2061
202101,서울특별시,강북구,언어,심하지 않은 장애,83
202101,서울특별시,강북구,뇌병변,심하지 않은 장애,703
202101,서울특별시,강북구,신장,심하지 않은 장애,137
202101,서울특별시,강북구,청각,심한 장애,602
202101,서울특별시,강북구,심장,심하지 않은 장애,10
202101,서울특별시,강북구,호흡기,심하지 않은 장애,4
202101,서울특별시,강북구,간,심하지 않은 장애,77
202101,서울특별시,강북구,안면,심하지 않은 장애,4
202101,서울특별시,강북구,장루.요루,심하지 않은 장애,113
202101,서울특별시,강북구,뇌전증,심하지 않은 장애,38
202101,서울특별시,강북구,언어,심한 장애,63
202101,서울특별시,도봉구,지적,심한 장애,1119
202101,서울특별시,도봉구,뇌병변,심한 장애,961
202101,서울특별시,도봉구,자폐성,심한 장애,182
202101,서울특별시,도봉구,정신,심한 장애,653
202101,서울특별시,도봉구,신장,심한 장애,528
202101,서울특별시,도봉구,심장,심한 장애,31
202101,서울특별시,도봉구,호흡기,심한 장애,64
202101,서울특별시,도봉구,시각,심한 장애,341
202101,서울특별시,도봉구,간,심한 장애,3
202101,서울특별시,도봉구,안면,심한 장애,10
202101,서울특별시,도봉구,장루.요루,심한 장애,8
202101,서울특별시,도봉구,뇌전증,심한 장애,12
202101,서울특별시,도봉구,지체,심하지 않은 장애,5561
202101,서울특별시,도봉구,시각,심하지 않은 장애,1284
202101,서울특별시,도봉구,청각,심하지 않은 장애,1772
202101,서울특별시,도봉구,언어,심하지 않은 장애,71
202101,서울특별시,도봉구,뇌병변,심하지 않은 장애,703
202101,서울특별시,도봉구,신장,심하지 않은 장애,171
202101,서울특별시,도봉구,심장,심하지 않은 장애,7
202101,서울특별시,도봉구,호흡기,심하지 않은 장애,4
202101,서울특별시,도봉구,간,심하지 않은 장애,90
202101,서울특별시,도봉구,청각,심한 장애,489
202101,서울특별시,도봉구,안면,심하지 않은 장애,7
202101,서울특별시,도봉구,장루.요루,심하지 않은 장애,122
202101,서울특별시,도봉구,뇌전증,심하지 않은 장애,31
202101,서울특별시,도봉구,언어,심한 장애,51
202101,서울특별시,도봉구,지체,심한 장애,1151
202101,서울특별시,노원구,지적,심한 장애,2294
202101,서울특별시,노원구,뇌병변,심한 장애,1931
202101,서울특별시,노원구,자폐성,심한 장애,387
202101,서울특별시,노원구,정신,심한 장애,1492
202101,서울특별시,노원구,신장,심한 장애,846
202101,서울특별시,노원구,심장,심한 장애,78
202101,서울특별시,노원구,호흡기,심한 장애,152
202101,서울특별시,노원구,간,심한 장애,10
202101,서울특별시,노원구,시각,심한 장애,726
202101,서울특별시,노원구,안면,심한 장애,20
202101,서울특별시,노원구,장루.요루,심한 장애,23
202101,서울특별시,노원구,뇌전증,심한 장애,28
202101,서울특별시,노원구,지체,심하지 않은 장애,8833
202101,서울특별시,노원구,시각,심하지 않은 장애,2047
202101,서울특별시,노원구,청각,심하지 않은 장애,2633
202101,서울특별시,노원구,언어,심하지 않은 장애,111
202101,서울특별시,노원구,뇌병변,심하지 않은 장애,963
202101,서울특별시,노원구,신장,심하지 않은 장애,262
202101,서울특별시,노원구,심장,심하지 않은 장애,13
202101,서울특별시,노원구,호흡기,심하지 않은 장애,1
202101,서울특별시,노원구,간,심하지 않은 장애,102
202101,서울특별시,노원구,청각,심한 장애,971
202101,서울특별시,노원구,안면,심하지 않은 장애,13
202101,서울특별시,노원구,장루.요루,심하지 않은 장애,163
202101,서울특별시,노원구,뇌전증,심하지 않은 장애,86
202101,서울특별시,노원구,언어,심한 장애,140
202101,서울특별시,노원구,지체,심한 장애,2948
202101,서울특별시,은평구,지적,심한 장애,1784
202101,서울특별시,은평구,뇌병변,심한 장애,1375
202101,서울특별시,은평구,자폐성,심한 장애,332
202101,서울특별시,은평구,정신,심한 장애,1162
202101,서울특별시,은평구,지체,심한 장애,1504
202101,서울특별시,은평구,신장,심한 장애,718
202101,서울특별시,은평구,심장,심한 장애,47
202101,서울특별시,은평구,호흡기,심한 장애,127
202101,서울특별시,은평구,간,심한 장애,11
202101,서울특별시,은평구,안면,심한 장애,10
202101,서울특별시,은평구,장루.요루,심한 장애,22
202101,서울특별시,은평구,시각,심한 장애,452
202101,서울특별시,은평구,뇌전증,심한 장애,10
202101,서울특별시,은평구,지체,심하지 않은 장애,7505
202101,서울특별시,은평구,시각,심하지 않은 장애,1905
202101,서울특별시,은평구,청각,심하지 않은 장애,2505
202101,서울특별시,은평구,언어,심하지 않은 장애,84
202101,서울특별시,은평구,뇌병변,심하지 않은 장애,870
202101,서울특별시,은평구,신장,심하지 않은 장애,166
202101,서울특별시,은평구,심장,심하지 않은 장애,10
202101,서울특별시,은평구,호흡기,심하지 않은 장애,3
202101,서울특별시,은평구,간,심하지 않은 장애,143
202101,서울특별시,은평구,청각,심한 장애,736
202101,서울특별시,은평구,안면,심하지 않은 장애,13
202101,서울특별시,은평구,장루.요루,심하지 않은 장애,144
202101,서울특별시,은평구,뇌전증,심하지 않은 장애,58
202101,서울특별시,은평구,언어,심한 장애,90
202101,서울특별시,서대문구,지적,심한 장애,794
202101,서울특별시,서대문구,뇌병변,심한 장애,815
202101,서울특별시,서대문구,자폐성,심한 장애,172
202101,서울특별시,서대문구,정신,심한 장애,528
202101,서울특별시,서대문구,신장,심한 장애,482
202101,서울특별시,서대문구,심장,심한 장애,29
202101,서울특별시,서대문구,호흡기,심한 장애,42
202101,서울특별시,서대문구,간,심한 장애,1
202101,서울특별시,서대문구,안면,심한 장애,2
202101,서울특별시,서대문구,시각,심한 장애,253
202101,서울특별시,서대문구,장루.요루,심한 장애,16
202101,서울특별시,서대문구,뇌전증,심한 장애,9
202101,서울특별시,서대문구,지체,심하지 않은 장애,4505
202101,서울특별시,서대문구,시각,심하지 않은 장애,1053
202101,서울특별시,서대문구,청각,심하지 않은 장애,1439
202101,서울특별시,서대문구,언어,심하지 않은 장애,59
202101,서울특별시,서대문구,뇌병변,심하지 않은 장애,565
202101,서울특별시,서대문구,신장,심하지 않은 장애,136
202101,서울특별시,서대문구,심장,심하지 않은 장애,6
202101,서울특별시,서대문구,호흡기,심하지 않은 장애,3
202101,서울특별시,서대문구,간,심하지 않은 장애,97
202101,서울특별시,서대문구,청각,심한 장애,406
202101,서울특별시,서대문구,안면,심하지 않은 장애,6
202101,서울특별시,서대문구,장루.요루,심하지 않은 장애,96
202101,서울특별시,서대문구,뇌전증,심하지 않은 장애,19
202101,서울특별시,서대문구,언어,심한 장애,56
202101,서울특별시,서대문구,지체,심한 장애,923
202101,서울특별시,마포구,지적,심한 장애,846
202101,서울특별시,마포구,뇌병변,심한 장애,851
202101,서울특별시,마포구,자폐성,심한 장애,199
202101,서울특별시,마포구,정신,심한 장애,506
202101,서울특별시,마포구,신장,심한 장애,450
202101,서울특별시,마포구,심장,심한 장애,21
202101,서울특별시,마포구,호흡기,심한 장애,47
202101,서울특별시,마포구,간,심한 장애,7
202101,서울특별시,마포구,지체,심한 장애,1072
202101,서울특별시,마포구,안면,심한 장애,5
202101,서울특별시,마포구,장루.요루,심한 장애,21
202101,서울특별시,마포구,시각,심한 장애,343
202101,서울특별시,마포구,뇌전증,심한 장애,11
202101,서울특별시,마포구,지체,심하지 않은 장애,4501
202101,서울특별시,마포구,시각,심하지 않은 장애,1127
202101,서울특별시,마포구,청각,심하지 않은 장애,1424
202101,서울특별시,마포구,언어,심하지 않은 장애,64
202101,서울특별시,마포구,뇌병변,심하지 않은 장애,535
202101,서울특별시,마포구,신장,심하지 않은 장애,166
202101,서울특별시,마포구,심장,심하지 않은 장애,10
202101,서울특별시,마포구,호흡기,심하지 않은 장애,5
202101,서울특별시,마포구,청각,심한 장애,465
202101,서울특별시,마포구,간,심하지 않은 장애,78
202101,서울특별시,마포구,안면,심하지 않은 장애,6
202101,서울특별시,마포구,장루.요루,심하지 않은 장애,100
202101,서울특별시,마포구,뇌전증,심하지 않은 장애,21
202101,서울특별시,마포구,언어,심한 장애,54
202101,서울특별시,양천구,지적,심한 장애,1164
202101,서울특별시,양천구,뇌병변,심한 장애,1074
202101,서울특별시,양천구,자폐성,심한 장애,289
202101,서울특별시,양천구,정신,심한 장애,614
202101,서울특별시,양천구,신장,심한 장애,529
202101,서울특별시,양천구,심장,심한 장애,35
202101,서울특별시,양천구,지체,심한 장애,1433
202101,서울특별시,양천구,호흡기,심한 장애,88
202101,서울특별시,양천구,간,심한 장애,9
202101,서울특별시,양천구,안면,심한 장애,8
202101,서울특별시,양천구,장루.요루,심한 장애,11
202101,서울특별시,양천구,뇌전증,심한 장애,9
202101,서울특별시,양천구,지체,심하지 않은 장애,6369
202101,서울특별시,양천구,시각,심하지 않은 장애,1394
202101,서울특별시,양천구,시각,심한 장애,325
202101,서울특별시,양천구,청각,심하지 않은 장애,2141
202101,서울특별시,양천구,언어,심하지 않은 장애,71
202101,서울특별시,양천구,뇌병변,심하지 않은 장애,719
202101,서울특별시,양천구,신장,심하지 않은 장애,186
202101,서울특별시,양천구,심장,심하지 않은 장애,19
202101,서울특별시,양천구,호흡기,심하지 않은 장애,3
202101,서울특별시,양천구,간,심하지 않은 장애,123
202101,서울특별시,양천구,안면,심하지 않은 장애,4
202101,서울특별시,양천구,장루.요루,심하지 않은 장애,115
202101,서울특별시,양천구,뇌전증,심하지 않은 장애,40
202101,서울특별시,양천구,청각,심한 장애,671
202101,서울특별시,양천구,언어,심한 장애,85
202101,서울특별시,강서구,지체,심한 장애,2993
202101,서울특별시,강서구,지적,심한 장애,2017
202101,서울특별시,강서구,뇌병변,심한 장애,1882
202101,서울특별시,강서구,자폐성,심한 장애,374
202101,서울특별시,강서구,정신,심한 장애,1599
202101,서울특별시,강서구,신장,심한 장애,1043
202101,서울특별시,강서구,심장,심한 장애,52
202101,서울특별시,강서구,호흡기,심한 장애,159
202101,서울특별시,강서구,간,심한 장애,11
202101,서울특별시,강서구,안면,심한 장애,18
202101,서울특별시,강서구,장루.요루,심한 장애,18
202101,서울특별시,강서구,시각,심한 장애,719
202101,서울특별시,강서구,뇌전증,심한 장애,34
202101,서울특별시,강서구,지체,심하지 않은 장애,9226
202101,서울특별시,강서구,시각,심하지 않은 장애,2099
202101,서울특별시,강서구,청각,심하지 않은 장애,3286
202101,서울특별시,강서구,언어,심하지 않은 장애,142
202101,서울특별시,강서구,뇌병변,심하지 않은 장애,1032
202101,서울특별시,강서구,신장,심하지 않은 장애,314
202101,서울특별시,강서구,심장,심하지 않은 장애,11
202101,서울특별시,강서구,청각,심한 장애,1145
202101,서울특별시,강서구,호흡기,심하지 않은 장애,8
202101,서울특별시,강서구,간,심하지 않은 장애,143
202101,서울특별시,강서구,안면,심하지 않은 장애,17
202101,서울특별시,강서구,장루.요루,심하지 않은 장애,161
202101,서울특별시,강서구,뇌전증,심하지 않은 장애,85
202101,서울특별시,강서구,언어,심한 장애,100
202101,서울특별시,구로구,뇌병변,심한 장애,1042
202101,서울특별시,구로구,자폐성,심한 장애,288
202101,서울특별시,구로구,정신,심한 장애,651
202101,서울특별시,구로구,지체,심한 장애,1405
202101,서울특별시,구로구,신장,심한 장애,616
202101,서울특별시,구로구,심장,심한 장애,39
202101,서울특별시,구로구,호흡기,심한 장애,102
202101,서울특별시,구로구,간,심한 장애,4
202101,서울특별시,구로구,안면,심한 장애,13
202101,서울특별시,구로구,장루.요루,심한 장애,10
202101,서울특별시,구로구,뇌전증,심한 장애,11
202101,서울특별시,구로구,지체,심하지 않은 장애,6815
202101,서울특별시,구로구,시각,심한 장애,397
202101,서울특별시,구로구,시각,심하지 않은 장애,1494
202101,서울특별시,구로구,청각,심하지 않은 장애,2186
202101,서울특별시,구로구,언어,심하지 않은 장애,70
202101,서울특별시,구로구,뇌병변,심하지 않은 장애,700
202101,서울특별시,구로구,신장,심하지 않은 장애,162
202101,서울특별시,구로구,심장,심하지 않은 장애,14
202101,서울특별시,구로구,호흡기,심하지 않은 장애,3
202101,서울특별시,구로구,간,심하지 않은 장애,101
202101,서울특별시,구로구,안면,심하지 않은 장애,14
202101,서울특별시,구로구,장루.요루,심하지 않은 장애,117
202101,서울특별시,구로구,뇌전증,심하지 않은 장애,40
202101,서울특별시,구로구,청각,심한 장애,668
202101,서울특별시,구로구,언어,심한 장애,79
202101,서울특별시,구로구,지적,심한 장애,1252
202101,서울특별시,금천구,지적,심한 장애,768
202101,서울특별시,금천구,뇌병변,심한 장애,607
202101,서울특별시,금천구,자폐성,심한 장애,124
202101,서울특별시,금천구,정신,심한 장애,431
202101,서울특별시,금천구,신장,심한 장애,381
202101,서울특별시,금천구,심장,심한 장애,34
202101,서울특별시,금천구,호흡기,심한 장애,57
202101,서울특별시,금천구,안면,심한 장애,11
202101,서울특별시,금천구,장루.요루,심한 장애,7
202101,서울특별시,금천구,뇌전증,심한 장애,12
202101,서울특별시,금천구,시각,심한 장애,200
202101,서울특별시,금천구,지체,심하지 않은 장애,4192
202101,서울특별시,금천구,시각,심하지 않은 장애,963
202101,서울특별시,금천구,청각,심하지 않은 장애,1370
202101,서울특별시,금천구,언어,심하지 않은 장애,47
202101,서울특별시,금천구,뇌병변,심하지 않은 장애,468
202101,서울특별시,금천구,신장,심하지 않은 장애,93
202101,서울특별시,금천구,청각,심한 장애,442
202101,서울특별시,금천구,심장,심하지 않은 장애,5
202101,서울특별시,금천구,호흡기,심하지 않은 장애,2
202101,서울특별시,금천구,간,심하지 않은 장애,51
202101,서울특별시,금천구,안면,심하지 않은 장애,5
202101,서울특별시,금천구,장루.요루,심하지 않은 장애,77
202101,서울특별시,금천구,지체,심한 장애,951
202101,서울특별시,금천구,뇌전증,심하지 않은 장애,33
202101,서울특별시,금천구,언어,심한 장애,41
202101,서울특별시,영등포구,지적,심한 장애,849
202101,서울특별시,영등포구,뇌병변,심한 장애,811
202101,서울특별시,영등포구,자폐성,심한 장애,210
202101,서울특별시,영등포구,정신,심한 장애,458
202101,서울특별시,영등포구,지체,심한 장애,1148
202101,서울특별시,영등포구,신장,심한 장애,520
202101,서울특별시,영등포구,심장,심한 장애,27
202101,서울특별시,영등포구,호흡기,심한 장애,62
202101,서울특별시,영등포구,간,심한 장애,5
202101,서울특별시,영등포구,안면,심한 장애,8
202101,서울특별시,영등포구,시각,심한 장애,288
202101,서울특별시,영등포구,장루.요루,심한 장애,9
202101,서울특별시,영등포구,뇌전증,심한 장애,9
202101,서울특별시,영등포구,지체,심하지 않은 장애,5346
202101,서울특별시,영등포구,시각,심하지 않은 장애,1266
202101,서울특별시,영등포구,청각,심하지 않은 장애,1874
202101,서울특별시,영등포구,언어,심하지 않은 장애,66
202101,서울특별시,영등포구,뇌병변,심하지 않은 장애,633
202101,서울특별시,영등포구,신장,심하지 않은 장애,167
202101,서울특별시,영등포구,심장,심하지 않은 장애,8
202101,서울특별시,영등포구,간,심하지 않은 장애,84
202101,서울특별시,영등포구,안면,심하지 않은 장애,12
202101,서울특별시,영등포구,청각,심한 장애,461
202101,서울특별시,영등포구,장루.요루,심하지 않은 장애,108
202101,서울특별시,영등포구,뇌전증,심하지 않은 장애,26
202101,서울특별시,영등포구,언어,심한 장애,63
202101,서울특별시,동작구,지체,심한 장애,1101
202101,서울특별시,동작구,지적,심한 장애,894
202101,서울특별시,동작구,뇌병변,심한 장애,887
202101,서울특별시,동작구,자폐성,심한 장애,232
202101,서울특별시,동작구,정신,심한 장애,525
202101,서울특별시,동작구,신장,심한 장애,467
202101,서울특별시,동작구,심장,심한 장애,28
202101,서울특별시,동작구,호흡기,심한 장애,66
202101,서울특별시,동작구,간,심한 장애,6
