시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 493,양산신-1022,1,N,N,35.493763,129.083891,4,8,16,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 493,양산신-1022,1,N,N,35.493763,129.083891,4,8,15,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 834,양산신-1023,1,N,N,35.493718,129.087145,2,4,11,N,N,N,,,N,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 834,양산신-1023,1,N,N,35.493718,129.087145,1,4,8,N,N,N,,,N,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시
14,무안군,승달로,,전라남도 무안군 무안읍 교촌리 70-3,1,01, ,n,34.99231598,126.4718364,2,4,8,n,n,n,,,n,y,n,n,무안군청,061-450-5665,2020-04-23,4950000,전라남도 무안군
제주특별자치도,제주시,일주동로,제주특별자치도 제주시 구좌읍 일주동로 3378,제주특별자치도 제주시 구좌읍 하도리 2315,154,01,N,N,33.518142,126.877175,4,6,17.6,Y,N,N,,,N,N,N,Y,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,일주동로,제주특별자치도 제주시 구좌읍 일주동로 3378,제주특별자치도 제주시 구좌읍 하도리 2315,155,01,Y,N,33.517963,126.878338,4,6.1,19.9,Y,N,N,,,N,Y,Y,Y,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,일주동로,제주특별자치도 제주시 구좌읍 일주동로 3378,제주특별자치도 제주시 구좌읍 하도리 2315,156,01,Y,N,33.518043,126.879639,4,6.2,14,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간동로,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,제주특별자치도 제주시 구좌읍 송당리 1366,157,01,N,N,33.471761,126.782297,2,5,6.4,N,N,N,,,N,Y,Y,Y,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로4길,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,227,01,N,N,33.410486,126.262788,2,5.2,6.6,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간동로,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,제주특별자치도 제주시 구좌읍 송당리 1366,158,01,N,N,33.471883,126.781557,2,5.5,5.9,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간동로,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,제주특별자치도 제주시 구좌읍 송당리 1366,159,01,N,N,33.471811,126.779945,2,2.3,8.5,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간동로,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,제주특별자치도 제주시 구좌읍 송당리 1366,160,01,N,N,33.471890,126.780011,2,4.6,8.9,N,N,N,,,N,Y,Y,Y,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간동로,제주특별자치도 제주시 조천읍 중산간동로 677,제주특별자치도 제주시 조천읍 대흘리 1672-1,161,01,N,N,33.499080,126.657692,2,1.2,9.7,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간동로,제주특별자치도 제주시 조천읍 중산간동로 677,제주특별자치도 제주시 조천읍 대흘리 1672-1,162,01,N,N,33.498998,126.658209,2,3.9,7.1,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간동로,제주특별자치도 제주시 조천읍 중산간동로 677,제주특별자치도 제주시 조천읍 대흘리 1672-1,163,01,N,N,33.499040,126.657615,2,4,6.9,N,N,N,,,N,Y,N,Y,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,화삼로,제주특별자치도 제주시 화삼북로 2길 27(화북일동),제주특별자치도 제주시 화북일동 1012-2,164,01,N,Y,33.514220,126.574504,4,6,15.8,N,N,N,,,N,Y,N,Y,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,화삼북로2길,제주특별자치도 제주시 화삼북로 2길 27(화북일동),제주특별자치도 제주시 화북일동 1012-2,165,01,N,Y,33.514405,126.576281,4,8.1,16.6,Y,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,화삼로,제주특별자치도 제주시 화삼북로 2길 27(화북일동),제주특별자치도 제주시 화북일동 1012-2,166,01,N,Y,33.514238,126.576087,4,8,19.9,Y,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,화삼로,제주특별자치도 제주시 화삼북로 2길 27(화북일동),제주특별자치도 제주시 화북일동 1012-2,167,01,N,Y,33.514248,126.576474,4,7.9,22.2,Y,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,화삼로,제주특별자치도 제주시 화삼북로 2길 27(화북일동),제주특별자치도 제주시 화북일동 1012-2,168,01,N,Y,33.514128,126.576315,4,2.5,7.5,Y,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,화삼로,제주특별자치도 제주시 화삼북로 2길 27(화북일동),제주특별자치도 제주시 화북일동 1012-2,169,01,N,Y,33.514221,126.574299,4,6.1,16.1,N,N,N,,,N,Y,N,Y,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,동화로1길,제주특별자치도 제주시 동화로 1길 44(화북일동),제주특별자치도 제주시 화북일동 12-2,170,01,N,Y,33.518715,126.576518,2,3.9,6.3,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,동화로1길,제주특별자치도 제주시 동화로 1길 44(화북일동),제주특별자치도 제주시 화북일동 12-2,171,01,N,N,33.519418,126.576509,2,3.7,6.1,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,동화로1길,제주특별자치도 제주시 동화로 1길 44(화북일동),제주특별자치도 제주시 화북일동 12-2,172,01,N,N,33.519495,126.576576,1,4.2,9.2,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,동화로1길,제주특별자치도 제주시 동화로 1길 44(화북일동),제주특별자치도 제주시 화북일동 12-2,173,01,N,N,33.519538,126.576424,4,5.9,10.5,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,귀덕14길,제주특별자치도 제주시 한림읍 귀덕 14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1157,212,01,N,N,33.443570,126.293698,1,3.5,9.6,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,수원7길,제주특별자치도 제주시 한림읍 한림로 822,제주특별자치도 제주시 한림읍 대림리 1591,213,01,N,N,33.426880,126.270413,2,2.2,6.7,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,수원3길,제주특별자치도 제주시 한림읍 한림로 822,제주특별자치도 제주시 한림읍 대림리 1591,214,01,N,N,33.425124,126.268403,2,2.2,10.7,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,대림8길,제주특별자치도 제주시 한림읍 한림로 822,제주특별자치도 제주시 한림읍 대림리 1591,215,01,N,N,33.425518,126.269124,2,2.2,9.7,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 822,제주특별자치도 제주시 한림읍 대림리 1591,216,01,N,Y,33.425984,126.269612,2,4.1,7.1,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,217,01,N,N,33.412125,126.260392,2,1.7,4.1,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로4길,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,218,01,N,Y,33.411416,126.261915,2,3.9,6.9,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,219,01,N,N,33.410702,126.259736,2,6.4,8.3,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,220,01,N,Y,33.411853,126.260331,2,4.7,7.3,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로3길,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,221,01,N,N,33.412675,126.260677,2,6.2,7.2,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,222,01,N,N,33.412676,126.260968,2,6.1,8.2,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로4길,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,223,01,N,N,33.412491,126.260912,2,4.1,6.8,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림남2길,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,224,01,N,N,33.411407,126.262114,2,5.9,7.1,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,문교길,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,225,01,N,N,33.410534,126.262649,2,4.1,6.8,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,문교길,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,226,01,N,N,33.410570,126.262784,2,4.1,9.6,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로4길,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,228,01,N,Y,33.411256,126.262061,2,4.8,6.3,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로4길,제주특별자치도 제주시 한림읍 한림로 4길 16,제주특별자치도 제주시 한림읍 한림리 1383,229,01,N,N,33.411783,126.261575,2,4.2,7.2,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,애월로,제주특별자치도 제주시 애월읍 애월로 139-10,제주특별자치도 제주시 애월읍 애월리 1736,230,01,N,N,33.463693,126.323552,2,3.4,8.4,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,애월로15길,제주특별자치도 제주시 애월읍 애월로 139-10,제주특별자치도 제주시 애월읍 애월리 1736,231,01,N,N,33.465540,126.323789,2,3.7,6.5,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,애월로15길,제주특별자치도 제주시 애월읍 애월로 139-10,제주특별자치도 제주시 애월읍 애월리 1736,232,01,N,N,33.463783,126.323459,2,4,9.4,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,애월로,제주특별자치도 제주시 애월읍 애월로 139-10,제주특별자치도 제주시 애월읍 애월리 1736,233,01,N,N,33.463734,126.323276,2,3.4,8.3,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,애월로15길,제주특별자치도 제주시 애월읍 애월로 139-10,제주특별자치도 제주시 애월읍 애월리 1736,234,01,N,Y,33.464520,126.323598,2,4,4.7,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,애월로,제주특별자치도 제주시 애월읍 애월로 139-10,제주특별자치도 제주시 애월읍 애월리 1736,235,01,N,N,33.464036,126.321634,2,4,7.7,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
14,무안군,승달로,,전라남도 무안군 무안읍 교촌리 70-3,1,01, ,n,34.99231598,126.4718364,2,4,16,n,n,n,,,n,y,n,n,무안군청,061-450-5665,2020-04-23,4950000,전라남도 무안군
제주특별자치도,제주시,동화로1길,제주특별자치도 제주시 동화로 1길 44(화북일동),제주특별자치도 제주시 화북일동 12-2,188,01,N,N,33.519329,126.574089,4,6,12.6,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,동화로1길,제주특별자치도 제주시 동화로 1길 44(화북일동),제주특별자치도 제주시 화북일동 12-2,189,01,N,Y,33.519205,126.573091,4,6.1,13.7,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,동화로1길,제주특별자치도 제주시 동화로 1길 44(화북일동),제주특별자치도 제주시 화북일동 12-2,190,01,N,N,33.519612,126.574396,4,5.8,6.2,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간서로,제주특별자치도 제주시 한경면 중산간서로 3591,제주특별자치도 제주시 한경면 저지리 1517,191,01,N,Y,33.325677,126.251913,2,6,6.1,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간서로,제주특별자치도 제주시 한경면 중산간서로 3591,제주특별자치도 제주시 한경면 저지리 1517,192,01,N,N,33.326771,126.252916,2,5.9,10.6,Y,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,중산간서로,제주특별자치도 제주시 한경면 중산간서로 3591,제주특별자치도 제주시 한경면 저지리 1517,193,01,N,Y,33.326080,126.252358,2,6,7.1,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2641,194,01,N,N,33.389620,126.235878,2,6,10.1,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2641,195,01,N,N,33.390317,126.237316,2,1.7,14.7,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2641,196,01,N,N,33.391134,126.238182,2,6.2,21.1,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2641,197,01,N,N,33.391169,126.238346,2,6.3,9.3,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2641,198,01,N,N,33.390979,126.238225,2,3.8,20.1,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2641,199,01,N,N,33.390935,126.238065,2,6.1,8.1,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2641,200,01,N,Y,33.390210,126.237037,2,6,9.1,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2641,201,01,N,N,33.390518,126.237397,2,3.2,16.2,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,한림로,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2641,202,01,N,N,33.390193,126.237137,2,2.8,8.7,N,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,귀덕9길,제주특별자치도 제주시 한림읍 귀덕 14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1157,203,01,N,N,33.443051,126.291538,4,2.7,4.8,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,귀덕12길,제주특별자치도 제주시 한림읍 귀덕 14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1157,204,01,N,N,33.443309,126.292753,4,3.2,9.2,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,귀덕10길,제주특별자치도 제주시 한림읍 귀덕 14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1157,205,01,N,N,33.442857,126.291573,4,3.6,5.9,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,귀덕14길,제주특별자치도 제주시 한림읍 귀덕 14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1157,206,01,N,N,33.442487,126.294457,1,4.2,4.9,N,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,귀덕13길,제주특별자치도 제주시 한림읍 귀덕 14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1157,207,01,N,N,33.444201,126.295510,2,5,4.8,Y,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,귀덕로,제주특별자치도 제주시 한림읍 귀덕 14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1157,208,01,N,N,33.444005,126.295568,4,4,7.1,Y,N,N,,,N,Y,N,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
제주특별자치도,제주시,일주서로,제주특별자치도 제주시 한림읍 귀덕 14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1157,209,01,N,N,33.444092,126.295414,4,8.1,15,Y,N,N,,,N,Y,Y,N,제주시,064-728-2101,2021-01-06,6510000,제주특별자치도 제주시
전라남도,함평군,서부길,,전라남도 함평군 함평읍 내교리 51-6,C0071,01,N,N,35.063004,126.521898,3,3,11,N,N,N,,,N,Y,N,N,함평군,061-320-1587,2020-09-03,4960000,전라남도 함평군
